Name,Date_Injured,Date_Recovered,Team,Year,Injury_Category,Keep
David Palmer,2000-07-23,2000-07-27,MIN,2000.0,Not Specified,1.0
Robbie Tobeck,2000-08-20,2000-10-14,SEA,2000.0,Not Specified,1.0
OJ McDuffie,2000-08-22,2000-10-23,MIA,2000.0,Not Specified,1.0
Adrian Klemm,2000-08-27,2000-11-01,NWE,2000.0,Not Specified,1.0
Aaron Gibson,2001-07-24,2001-07-27,DET,2001.0,Not Specified,1.0
Corey Moore b 1979-03-20,2001-07-25,2001-08-01,BUF,2001.0,Not Specified,1.0
Lance Schulters,2001-07-29,2001-08-06,SFO,2001.0,Not Specified,1.0
Matt Joyce,2001-07-24,2001-08-06,DET,2001.0,Not Specified,1.0
Shaun Rogers,2001-07-24,2001-08-06,DET,2001.0,Not Specified,1.0
Samari Rolle,2001-07-28,2001-08-14,OTI,2001.0,Not Specified,1.0
Hundens Zellner,2001-07-22,2001-08-14,DAL,2001.0,Not Specified,1.0
Mike Lucky,2001-07-22,2001-08-14,DAL,2001.0,Not Specified,1.0
Elliss Johnson,2001-07-27,2001-08-20,CLT,2001.0,Not Specified,1.0
Greg Clark b 1972-04-07,2001-07-29,2001-09-02,SFO,2001.0,Not Specified,1.0
Pat Dennis,2001-09-02,2001-10-03,KAN,2001.0,Knee,1.0
Jared DeVries,2001-08-28,2001-10-27,DET,2001.0,Not Specified,1.0
Mike Mohring,2001-08-28,2001-11-03,SDG,2001.0,Not Specified,1.0
Lenoy Jones,2001-08-27,2001-11-09,CLE,2001.0,Not Specified,1.0
Alonzo Mayes,2001-09-02,2001-11-13,MIA,2001.0,Not Specified,1.0
Arther Love,2001-08-28,2001-11-21,NWE,2001.0,Not Specified,1.0
Nick Williams a,2001-08-27,2001-11-27,CIN,2001.0,ACL,1.0
Antony Jordan,2001-11-27,2002-02-21,ATL,2001.0,Not Specified,1.0
Desmond Howard,2002-07-23,2002-07-25,DET,2002.0,Not Specified,1.0
Jay Riemersma,2002-07-25,2002-07-28,BUF,2002.0,Not Specified,1.0
Matt Joyce,2002-07-23,2002-08-11,DET,2002.0,Not Specified,1.0
Brian Williams M,2002-07-25,2002-08-12,DET,2002.0,Not Specified,1.0
Peter Boulware,2002-07-26,2002-08-16,RAV,2002.0,Not Specified,1.0
Shaun Rogers,2002-07-25,2002-08-19,DET,2002.0,Not Specified,1.0
Terry Fair,2002-07-23,2002-08-19,DET,2002.0,Not Specified,1.0
Earl Dotson,2002-07-26,2002-08-28,GNB,2002.0,Not Specified,1.0
Alonzo Mayes,2002-08-27,2002-09-17,MIA,2002.0,Not Specified,1.0
Germane Crowell,2002-08-26,2002-10-19,DET,2002.0,Not Specified,1.0
Damon Moore,2002-09-01,2002-11-01,CHI,2002.0,Not Specified,1.0
Marvin Minnis,2002-09-01,2002-11-06,KAN,2002.0,Not Specified,1.0
David Szott,2002-08-27,2002-11-18,NYJ,2002.0,ACL,1.0
Regan Upshaw,2002-08-26,2002-11-20,RAI,2002.0,ACL,1.0
Az-Zahir Hakim,2003-07-24,2003-07-27,DET,2003.0,Not Specified,1.0
Tony Semple,2003-07-26,2003-07-31,DET,2003.0,Not Specified,1.0
Jimmy McClain,2003-07-25,2003-08-04,HTX,2003.0,Not Specified,1.0
Shawn Bryson,2003-07-24,2003-08-04,DET,2003.0,Not Specified,1.0
Mikhael Ricks,2003-07-24,2003-08-04,DET,2003.0,Not Specified,1.0
Will Hunter,2003-07-21,2003-08-04,NYJ,2003.0,Not Specified,1.0
Corey Harris,2003-07-24,2003-08-11,DET,2003.0,Not Specified,1.0
Brian Williams M,2003-07-24,2003-08-11,DET,2003.0,Not Specified,1.0
Kalimba Edwards,2003-07-24,2003-08-25,DET,2003.0,Not Specified,1.0
Terrence Wilkins,2003-08-26,2003-08-30,CAR,2003.0,Not Specified,1.0
Juran Bolden,2003-08-25,2003-10-15,ATL,2003.0,Not Specified,1.0
James Whitley,2003-08-26,2003-10-17,RAM,2003.0,Not Specified,1.0
Montique Sharpe,2003-08-26,2003-10-20,KAN,2003.0,Foot,1.0
Nick Davis,2003-08-25,2003-10-24,MIN,2003.0,Not Specified,1.0
Marcus Williams A,2003-08-26,2003-10-28,RAI,2003.0,Not Specified,1.0
Juran Bolden,2003-08-25,2003-10-31,ATL,2003.0,Not Specified,1.0
Michael Bennett A,2003-08-25,2003-10-31,MIN,2003.0,Not Specified,1.0
Chas Gessner,2003-08-26,2003-11-13,NWE,2003.0,Not Specified,1.0
Frisman Jackson,2003-08-31,2003-11-14,CLE,2003.0,Not Specified,1.0
Luther Elliss,2003-08-31,2003-11-15,DET,2003.0,Foot,1.0
Kevin Dyson,2003-08-25,2003-11-22,CAR,2003.0,Not Specified,1.0
Artose Pinner,2003-08-25,2003-11-24,DET,2003.0,Foot,1.0
Jerome Davis Devon,2004-09-05,2004-10-13,SFO,2004.0,Foot,1.0
Chris Johnson Mario,2004-08-29,2004-10-20,GNB,2004.0,Not Specified,1.0
Marc Colombo,2004-09-04,2004-11-08,CHI,2004.0,Not Specified,1.0
Lorenzo Bromell,2004-08-30,2004-11-09,NYG,2004.0,Not Specified,1.0
Chris Johnson Mario,2004-08-29,2004-11-10,GNB,2004.0,Not Specified,1.0
Willie Whitehead,2004-09-05,2004-11-12,NOR,2004.0,Not Specified,1.0
Keith Heinrich,2004-08-30,2004-11-16,CLE,2004.0,Not Specified,1.0
Adimchinobe Echemandu,2004-08-30,2004-11-16,CLE,2004.0,Foot,1.0
Anthony Wright,2004-09-01,2004-11-17,RAV,2004.0,Not Specified,1.0
Matt ODwyer,2004-08-31,2004-11-30,TAM,2004.0,Not Specified,1.0
Kendyll Pope,2004-08-31,2004-12-01,CLT,2004.0,Not Specified,1.0
Chris Day,2005-06-14,2005-07-06,GNB,2005.0,Not Specified,1.0
Tim Dwight,2005-07-27,2005-08-01,NWE,2005.0,Foot,1.0
Eddie Moore Deon,2005-07-24,2005-08-15,MIA,2005.0,Knee,1.0
Joseph Scott,2005-08-11,2005-08-18,NYG,2005.0,Not Specified,1.0
Dwight Freeney,2005-08-02,2005-08-18,CLT,2005.0,Not Specified,1.0
Stephen Davis,2005-07-29,2005-08-22,CAR,2005.0,Not Specified,1.0
Todd Heap,2005-07-25,2005-08-22,RAV,2005.0,Not Specified,1.0
Bethel Johnson,2005-07-26,2005-09-01,NWE,2005.0,Ankle,1.0
Tedy Bruschi,2005-08-30,2005-10-29,NWE,2005.0,Not Specified,1.0
Steven Vieira,2005-08-28,2005-10-31,CIN,2005.0,Foot,1.0
Bryan Johnson a,2005-08-30,2005-11-06,CHI,2005.0,Not Specified,1.0
Caleb Miller,2005-09-03,2005-11-07,CIN,2005.0,Ankle,1.0
Jason McKie,2005-09-02,2005-11-08,CHI,2005.0,Foot,1.0
Musa Smith,2005-08-30,2005-11-09,RAV,2005.0,Not Specified,1.0
Josh Williams,2005-08-30,2005-11-20,CLT,2005.0,Not Specified,1.0
Airese Currie,2005-09-02,2005-11-23,CHI,2005.0,Foot,1.0
Shawn Barber,2005-08-30,2005-11-25,KAN,2005.0,ACL,1.0
Nate Webster,2005-08-30,2005-11-29,CIN,2005.0,Knee,1.0
Von Hutchins,2005-09-03,2005-11-30,CLT,2005.0,Not Specified,1.0
Curtis Martin,2005-12-16,2005-12-17,NYJ,2005.0,Knee,1.0
