Date,Team,Acquired,Relinquished,Notes,Year
2010-05-11,Jaguars,,Bryan Smith,placed on IR with torn ACL in right knee,2010
2010-05-11,Steelers,,Limas Sweed,placed on IR with Achilles tendon injury,2010
2010-05-19,Buccaneers,,Byron Storer,placed on IR,2010
2010-05-22,Bears,,Brett Basanez,placed on IR with wrist injury,2010
2010-05-27,Titans,,Dominique Lindsay,placed on IR with Achilles tendon injury,2010
2010-06-02,Bears,,Lawrence Wilson (b),placed on IR,2010
2010-06-10,Eagles,,Marlin Jackson,placed on IR with Achilles tendon injury,2010
2010-06-14,Broncos,,Braxton Kelley,placed on IR (CBC),2010
2010-06-16,Titans,,Roderick Hood / Rod Hood,placed on IR with torn ACL in knee,2010
2010-07-07,Lions,,Copeland Bryan,placed on IR with knee injury,2010
2010-07-21,Bengals,,Jason Shirley,placed on non-football injury list with Achilles tendon injury,2010
2010-07-21,Steelers,,Willie Colon,placed on IR with right Achilles tendon injury,2010
2010-07-22,Bills,,Joe Klopfenstein,placed on IR with undisclosed injury,2010
2010-07-24,Cowboys,,Lorenzo Washington,placed on physically unable to perform list with hamstring injury,2010
2010-07-27,Browns,,Calvin Mosley / C.J. Mosley,placed on physically unable to perform list with ankle injury,2010
2010-07-27,Browns,,Coye Francies,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Browns,,Shaun Rogers,placed on physically unable to perform list with leg injury,2010
2010-07-27,Patriots,,Kade Weston,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Patriots,,Shawn Crable,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Patriots,,Wes Welker,placed on physically unable to perform list recovering from surgery on knee,2010
2010-07-27,Ravens,,Brendon Ayanbadejo,placed on physically unable to perform list with quadriceps injury,2010
2010-07-27,Ravens,,Ed Reed,placed on physically unable to perform list with hip injury,2010
2010-07-27,Ravens,,Fabian Washington,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Lardarius Webb,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Matt Birk,placed on physically unable to perform list with neck injury,2010
2010-07-27,Ravens,,Matt Lawrence,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Oniel Cousins,placed on physically unable to perform list with throat ailment,2010
2010-07-27,Ravens,,Prince Miller,placed on physically unable to perform list for undisclosed reason,2010
2010-07-27,Ravens,,Rodelin Anthony,placed on physically unable to perform list with knee injury,2010
2010-07-27,Ravens,,Terrence Cody,placed on physically unable to perform list for conditioning,2010
2010-07-27,Ravens,,Walt Harris (Lee),placed on physically unable to perform list for conditioning,2010
2010-07-28,Broncos,,Darrell Reid,placed on physically unable to perform list,2010
2010-07-28,Broncos,,Jamal Williams,placed on physically unable to perform list for undisclosed reason,2010
2010-07-28,Broncos,,Ryan Clady,placed on non-football injury list with knee injury,2010
2010-07-28,Panthers,,Duke Robinson,placed on physically unable to perform list for conditioning,2010
2010-07-28,Panthers,,Jeff Otah,placed on physically unable to perform list with knee injury,2010
2010-07-28,Panthers,,Jonathan Stewart (Creon),placed on physically unable to perform list with Achilles tendon injury,2010
2010-07-28,Panthers,,Louis Leonard,placed on physically unable to perform list for undisclosed reason,2010
2010-07-28,Panthers,,Steve Smith (Latrall) / Steve Smith Sr.,placed on physically unable to perform list with arm injury,2010
2010-07-28,Panthers,,Thomas Davis,placed on physically unable to perform list with knee injury,2010
2010-07-29,Bills,,Jon Corto,placed on physically unable to perform list with wrist injury,2010
2010-07-29,Bills,,Nic Harris,placed on physically unable to perform list,2010
2010-07-29,Chiefs,,Brad Cottam,placed on physically unable to perform list with neck injury,2010
2010-07-29,Jets,,Erik Ainge,placed on non-football injury list,2010
2010-07-29,Jets,,Joe McKnight,placed on non-football injury list,2010
2010-07-29,Ravens,,Todd Heap,placed on active/non-football injury list with tonsillitis,2010
2010-07-29,Saints,,Clint Ingram,placed on physically unable to perform list,2010
2010-07-29,Saints,,Darren Sharper,placed on physically unable to perform list,2010
