Name,Date_Injured,Date_Recovered,Team,Year,Injury_Category,Age,Pos,Wt,Ht,BirthDate,Days_Missed
M Yanda,2009-07-28,2009-07-31,RAV,2009,Not Specified,9082.0,GC,305.0,75.0,1984-09-15,3.0
K Britt,2009-08-02,2009-08-07,OTI,2009,Hamstring,7622.0,WR,230.0,75.0,1988-09-19,5.0
R Ohrnberger,2009-07-27,2009-08-10,NWE,2009,Not Specified,8564.0,GC,291.0,74.0,1986-02-14,14.0
T Warren,2009-07-27,2009-08-10,NWE,2009,Knee,10398.0,DE,300.0,77.0,1981-02-06,14.0
R Gallery,2009-07-30,2009-08-10,RAI,2009,Not Specified,10596.0,T,325.0,79.0,1980-07-26,11.0
R McDonald,2009-07-31,2009-08-24,SFO,2009,Not Specified,9080.0,DE,276.0,76.0,1984-09-20,24.0
J Walker,2009-07-30,2009-08-24,RAI,2009,Knee,11247.0,WR,215.0,75.0,1978-10-14,25.0
B Tate,2009-08-31,2009-10-24,NWE,2009,ACL,8001.0,WR,195.0,73.0,1987-10-05,54.0
M LeVoir,2009-07-27,2009-10-24,NWE,2009,Shoulder,9860.0,T,310.0,79.0,1982-07-29,89.0
M Trufant,2009-07-31,2009-10-30,SEA,2009,Back,10445.0,DB,197.0,71.0,1980-12-25,91.0
M Roth,2009-09-05,2009-10-31,MIA,2009,Groin,9823.0,DE,275.0,76.0,1982-10-14,56.0
K Smith,2009-09-01,2009-11-07,KAN,2009,Knee,11681.0,DT,295.0,76.0,1977-09-08,67.0
K Smith,2009-09-01,2009-11-07,KAN,2009,Knee,9026.0,RB,214.0,71.0,1984-12-15,67.0
J Hardy,2009-09-05,2009-11-11,BUF,2009,Not Specified,8656.0,WR,220.0,78.0,1985-12-24,67.0
J Bowie,2009-09-30,2009-11-24,RAI,2009,Knee,9273.0,DB,186.0,71.0,1984-05-11,55.0
J Ulbrich,2009-10-19,2009-12-10,SFO,2009,Concussion,11932.0,LB,240.0,72.0,1977-02-17,52.0
K Smith,2009-12-02,2009-12-14,CAR,2009,Knee,9388.0,LB,232.0,74.0,1984-03-20,12.0
C Henry,2009-11-09,2009-12-17,CIN,2009,Forearm,9673.0,WR,200.0,76.0,1983-05-17,38.0
D Faggins,2009-11-03,2009-12-29,DET,2009,Groin,11101.0,DB,178.0,70.0,1979-06-13,56.0
A Jennings,2009-10-05,2009-12-29,DET,2009,Ankle,9819.0,WR,180.0,69.0,1982-11-17,85.0
J Banks,2010-01-05,2010-01-13,CRD,2009,Ankle,9008.0,DE,300.0,77.0,1985-05-08,8.0
J Rogers,2009-12-26,2010-02-08,KAN,2009,Quadricep/Thigh,9614.0,LB,252.0,75.0,1983-08-31,44.0
E Henderson,2009-12-09,2010-02-10,MIN,2009,Not Specified,10720.0,LB,245.0,73.0,1980-08-03,63.0
E Henderson,2009-12-09,2010-02-10,MIN,2009,Not Specified,8562.0,LB,242.0,75.0,1986-07-01,63.0
K Balmer,2009-12-09,2010-02-10,SFO,2009,Shoulder,8456.0,DT,298.0,77.0,1986-10-15,63.0
B Lockett,2009-12-09,2010-02-10,NWE,2009,Groin,8464.0,DB,210.0,73.0,1986-10-07,63.0
B Tate,2009-11-14,2010-02-10,NWE,2009,Knee,8076.0,WR,195.0,73.0,1987-10-05,88.0
T Davis,2009-11-10,2010-02-10,CAR,2009,Knee,9730.0,LB,235.0,73.0,1983-03-22,92.0
L Leonard,2009-09-22,2010-02-10,CAR,2009,Ankle,9199.0,DT,325.0,77.0,1984-07-16,141.0
L Johnson,2009-11-24,2010-02-10,CAR,2009,MCL,10483.0,LB,232.0,74.0,1981-03-13,78.0
J McCown,2009-09-14,2010-02-10,CAR,2009,Knee,11030.0,QB,218.0,76.0,1979-07-04,149.0
J Gross,2009-11-17,2010-02-10,CAR,2009,Ankle,10712.0,T,305.0,76.0,1980-07-20,85.0
J Otah,2009-12-15,2010-02-10,CAR,2009,Shoulder,8582.0,T,340.0,78.0,1986-06-17,57.0
J Delhomme,2009-12-24,2010-02-10,CAR,2009,Finger,12767.0,QB,215.0,74.0,1975-01-10,48.0
W Welker,2010-01-06,2010-02-10,NWE,2009,Knee,10477.0,WR,185.0,69.0,1981-05-01,35.0
J Alston,2009-11-25,2010-02-10,RAI,2009,Concussion,9671.0,LB,235.0,72.0,1983-06-04,77.0
L Robinson,2009-09-29,2010-02-10,RAM,2009,Fibula,8898.0,WR,192.0,74.0,1985-05-20,134.0
K Burton,2009-11-16,2010-02-10,RAM,2009,Patellar Tendon,9149.0,WR,202.0,72.0,1984-10-29,86.0
J Bell,2009-12-15,2010-02-10,RAM,2009,Hamstring,10515.0,GC,300.0,76.0,1981-03-02,57.0
G Gibson,2009-10-12,2010-02-10,RAM,2009,Foot,10022.0,DT,285.0,75.0,1982-05-05,121.0
D Fells,2009-12-21,2010-02-10,RAM,2009,Quadricep/Thigh,9586.0,TE,260.0,76.0,1983-09-23,51.0
C Massey,2009-10-26,2010-02-10,RAM,2009,Knee,11024.0,RB,237.0,72.0,1979-08-21,107.0
B Fletcher,2009-10-29,2010-02-10,RAM,2009,Knee,8527.0,DB,196.0,72.0,1986-06-25,104.0
S Norris,2009-12-30,2010-02-10,RAI,2009,Hamstring,8832.0,LB,232.0,74.0,1985-10-25,42.0
R Gallery,2009-12-11,2010-02-10,RAI,2009,Back,10730.0,T,325.0,79.0,1980-07-26,61.0
R Brown,2009-11-22,2010-02-10,RAI,2009,Ankle,9462.0,LB,235.0,74.0,1983-12-27,80.0
W Blackmon,2009-10-12,2010-02-10,GNB,2009,Knee,9116.0,DB,212.0,72.0,1984-10-27,121.0
C Bryan,2009-10-22,2010-02-10,DET,2009,Knee,9597.0,DE,253.0,76.0,1983-07-14,111.0
C Fitzsimmons,2009-12-15,2010-02-10,DET,2009,Concussion,10658.0,TE,258.0,76.0,1980-10-10,57.0
B Pettigrew,2009-12-01,2010-02-10,DET,2009,ACL,9047.0,TE,257.0,77.0,1985-02-23,71.0
L Washington,2009-10-26,2010-02-10,NYJ,2009,Leg,9920.0,RB,192.0,68.0,1982-08-29,107.0
L Izzo,2009-12-10,2010-02-10,NYJ,2009,Neck,12859.0,LB,225.0,70.0,1974-09-26,62.0
K Jenkins,2009-10-19,2010-02-10,NYJ,2009,Knee,11035.0,DT,360.0,76.0,1979-08-03,114.0
T Williamson,2009-09-23,2010-02-10,JAX,2009,Shoulder,9643.0,WR,203.0,73.0,1983-04-30,140.0
S Starks,2009-11-07,2010-02-10,JAX,2009,Hamstring,9630.0,DB,178.0,69.0,1983-06-27,95.0
R Hayward,2009-09-16,2010-02-10,JAX,2009,Leg,11144.0,DE,275.0,77.0,1979-03-14,147.0
J Dillard,2009-11-17,2010-02-10,JAX,2009,Ankle,8732.0,WR,185.0,70.0,1985-12-21,85.0
G Jones,2009-12-17,2010-02-10,JAX,2009,Ankle,10449.0,RB,265.0,73.0,1981-05-09,55.0
M Bulger,2009-12-26,2010-02-10,RAM,2009,Knee,11953.0,QB,208.0,75.0,1977-04-05,46.0
J Williams,2009-11-17,2010-02-10,DET,2009,ACL,9001.0,DB,181.0,68.0,1985-03-27,85.0
J Thompson,2009-12-30,2010-02-10,GNB,2009,Neck,8848.0,DE,262.0,76.0,1985-10-09,42.0
J Spitz,2009-11-07,2010-02-10,GNB,2009,Back,9820.0,GC,298.0,75.0,1982-12-19,95.0
D Wynn,2009-10-21,2010-02-10,GNB,2009,Knee,9509.0,RB,232.0,71.0,1983-10-09,112.0
B Swain,2009-10-27,2010-02-10,GNB,2009,Knee,8894.0,WR,200.0,73.0,1985-06-21,106.0
A Harris,2009-11-25,2010-02-10,GNB,2009,Knee,12772.0,DB,190.0,73.0,1974-12-07,77.0
A Kampman,2009-12-07,2010-02-10,GNB,2009,ACL,10965.0,DE,260.0,76.0,1979-11-30,65.0
S Peterman,2009-11-20,2010-02-10,DET,2009,Ankle,10175.0,GC,323.0,76.0,1982-01-11,82.0
M Stafford,2009-12-24,2010-02-10,DET,2009,Knee,7991.0,QB,220.0,75.0,1988-02-07,48.0
M Manuel,2009-11-18,2010-02-10,DET,2009,Shoulder,11088.0,DB,213.0,72.0,1979-07-11,84.0
K Simpson,2009-11-25,2010-02-10,DET,2009,Knee,9513.0,DB,202.0,73.0,1983-11-09,77.0
K Smith,2009-12-15,2010-02-10,DET,2009,Knee,8399.0,RB,210.0,72.0,1986-12-17,57.0
E King,2009-10-12,2010-02-10,DET,2009,Shoulder,10017.0,DB,190.0,70.0,1982-05-10,121.0
C Ingram,2009-12-21,2010-02-10,JAX,2009,Shoulder,9772.0,LB,240.0,74.0,1983-03-21,51.0
O Atogwe,2009-12-09,2010-02-10,RAM,2009,Shoulder,10396.0,DB,205.0,71.0,1981-06-23,63.0
B McKinney,2009-12-19,2010-02-10,RAV,2009,Back,9614.0,DT,345.0,74.0,1983-08-24,53.0
K Lewis,2009-12-29,2010-02-10,PIT,2009,Back,8627.0,DB,198.0,72.0,1986-05-17,43.0
G Warren,2009-12-21,2010-02-10,PIT,2009,ACL,10291.0,GC,252.0,75.0,1981-10-18,51.0
F Summers,2009-09-29,2010-02-10,PIT,2009,Back,8789.0,RB,240.0,70.0,1985-09-06,134.0
A Smith,2009-10-14,2010-02-10,PIT,2009,Shoulder,12231.0,DE,298.0,77.0,1976-04-19,119.0
L Sweed,2009-12-21,2010-02-10,PIT,2009,Covid/Illness,9127.0,WR,220.0,77.0,1984-12-25,51.0
M Hass,2009-12-30,2010-02-10,SEA,2009,Shoulder,9859.0,WR,210.0,73.0,1983-01-02,42.0
K Houser,2009-12-22,2010-02-10,SEA,2009,Rib/Lung,11809.0,GC,252.0,74.0,1977-08-23,50.0
C Wallace,2009-11-04,2010-02-10,SEA,2009,Hamstring,8967.0,DB,218.0,72.0,1985-04-17,98.0
B Frye,2009-10-12,2010-02-10,SEA,2009,Neck,9759.0,T,302.0,76.0,1983-01-23,121.0
R Leisle,2010-01-15,2010-02-10,NOR,2009,Knee,10571.0,DT,315.0,75.0,1981-02-05,26.0
R Harper,2009-10-16,2010-02-10,NOR,2009,Foot,9806.0,DB,205.0,73.0,1982-12-11,117.0
L Tatupu,2009-10-29,2010-02-10,SEA,2009,Pectoral/Chest,9845.0,LB,250.0,72.0,1982-11-15,104.0
M Jones,2009-10-30,2010-02-10,OTI,2009,Hamstring,10588.0,WR,185.0,69.0,1980-11-03,103.0
K Bulluck,2009-12-21,2010-02-10,OTI,2009,ACL,11949.0,LB,235.0,75.0,1977-04-04,51.0
J Jones,2009-12-09,2010-02-10,OTI,2009,Shoulder,8601.0,DT,272.0,77.0,1986-05-23,63.0
D Thornton,2009-12-21,2010-02-10,OTI,2009,Pectoral/Chest,11373.0,LB,233.0,74.0,1978-11-01,51.0
C Hentrich,2009-09-29,2010-02-10,OTI,2009,Calf,14014.0,PK,213.0,75.0,1971-05-18,134.0
M Mailei,2009-12-21,2010-02-10,NOR,2009,Not Specified,8453.0,RB,245.0,73.0,1986-10-30,51.0
L Torrence,2009-11-23,2010-02-10,NOR,2009,Shoulder,10185.0,DB,179.0,71.0,1982-01-04,79.0
C Cooley,2009-11-30,2010-02-10,WAS,2009,Ankle,10004.0,TE,255.0,75.0,1982-07-11,72.0
C Rinehart,2009-11-23,2010-02-10,WAS,2009,Fibula,8969.0,T,320.0,77.0,1985-05-04,79.0
M Lawrence,2009-11-24,2010-02-10,RAV,2009,Knee,8969.0,RB,210.0,73.0,1985-05-05,78.0
L Webb,2009-12-21,2010-02-10,RAV,2009,ACL,8836.0,DB,179.0,70.0,1985-10-12,51.0
K Gerard,2009-12-25,2010-02-10,RAV,2009,Hamstring,8648.0,DB,187.0,73.0,1986-04-22,47.0
H Nakamura,2009-11-18,2010-02-10,RAV,2009,Ankle,8615.0,DB,190.0,70.0,1986-04-18,84.0
F Washington,2009-11-24,2010-02-10,RAV,2009,ACL,9665.0,DB,175.0,71.0,1983-06-09,78.0
