Team,Year,Injury_Category,Age,Pos,Wt,Ht,Month_Injured,Day_Of_Team_Year
RAI,2015.0,Shoulder,12529.0,LB,240.0,75.0,12,287.0
CLE,2018.0,Ankle,10182.0,TE,257.0,75.0,12,285.0
NOR,2013.0,Knee,11527.0,LB,230.0,73.0,11,248.0
CRD,2017.0,Ankle,11139.0,T,321.0,80.0,12,284.0
CLE,2019.0,Calf,9423.0,DL,300.0,75.0,11,243.0
TAM,2018.0,ACL,8571.0,LB,238.0,74.0,10,233.0
SFO,2017.0,Arm,9393.0,S,215.0,73.0,11,248.0
RAI,2020.0,Concussion,10805.0,S,212.0,73.0,12,285.0
KAN,2017.0,Ankle,9080.0,RB,185.0,70.0,1,305.0
SFO,2014.0,Quadricep/Thigh,10114.0,DB,200.0,74.0,10,236.0
WAS,2014.0,Knee,10654.0,LB,226.0,73.0,10,229.0
OTI,2009.0,Forearm,12895.0,DB,182.0,70.0,12,302.0
RAM,2017.0,Shoulder,8462.0,S,195.0,71.0,12,299.0
WAS,2019.0,MCL,8207.0,RB,225.0,71.0,12,282.0
NYG,2011.0,Shoulder,10201.0,DB,190.0,73.0,11,263.0
OTI,2016.0,Finger,9140.0,OG,323.0,74.0,9,204.0
MIN,2020.0,Thumb,9570.0,GC,303.0,75.0,9,199.0
GNB,2015.0,Ankle,9545.0,DT,310.0,75.0,9,202.0
CAR,2018.0,Knee,9508.0,T,330.0,78.0,9,193.0
NYG,2015.0,Knee,11254.0,LB,237.0,72.0,11,249.0
RAV,2013.0,Concussion,13684.0,WR,194.0,72.0,12,282.0
SEA,2009.0,Shoulder,9859.0,WR,210.0,73.0,12,302.0
NWE,2010.0,ACL,12527.0,RB,202.0,68.0,9,203.0
RAI,2010.0,Shoulder,10171.0,QB,217.0,73.0,12,274.0
JAX,2016.0,Toe,8920.0,GC,300.0,77.0,12,296.0
NOR,2020.0,Covid/Illness,9159.0,LB,238.0,75.0,8,157.0
SEA,2012.0,Wrist,10593.0,WR,204.0,73.0,10,242.0
CIN,2020.0,Covid/Illness,8696.0,WR,228.0,77.0,11,268.0
RAM,2013.0,Fibula,12016.0,GC,302.0,74.0,12,283.0
TAM,2019.0,Hamstring,8310.0,S,198.0,70.0,12,290.0
CRD,2012.0,MCL,10482.0,GC,299.0,75.0,11,269.0
CAR,2016.0,Knee,8258.0,WR,225.0,76.0,12,302.0
KAN,2020.0,Not Specified,8346.0,DE,255.0,74.0,10,222.0
TAM,2013.0,Hamstring,9660.0,WR,204.0,74.0,10,239.0
NYG,2019.0,Concussion,10120.0,TE,255.0,77.0,12,300.0
BUF,2020.0,Covid/Illness,10304.0,WR,225.0,75.0,7,149.0
NYG,2013.0,Neck,10176.0,LB,233.0,75.0,9,193.0
RAV,2015.0,ACL,11269.0,QB,245.0,78.0,11,266.0
JAX,2016.0,Hamstring,8858.0,LB,250.0,76.0,9,183.0
NYJ,2014.0,Hamstring,9597.0,WR,206.0,73.0,12,276.0
PHI,2020.0,Covid/Illness,11830.0,DE,279.0,75.0,11,262.0
DAL,2017.0,Foot,8917.0,DE,270.0,75.0,10,216.0
CIN,2012.0,Foot,10634.0,GC,295.0,75.0,9,186.0
CLE,2014.0,Not Specified,11113.0,WR,215.0,74.0,12,275.0
OTI,2015.0,Groin,10322.0,DB,195.0,71.0,11,258.0
GNB,2017.0,Hamstring,8528.0,T,301.0,78.0,9,202.0
HTX,2017.0,MCL,9099.0,S,200.0,74.0,12,299.0
NYJ,2011.0,Achilles,8914.0,TE,249.0,76.0,9,208.0
CRD,2016.0,Knee,8932.0,LB,236.0,74.0,11,261.0
WAS,2015.0,Not Specified,9890.0,T,320.0,77.0,8,167.0
CRD,2020.0,Covid/Illness,13602.0,WR,218.0,75.0,11,269.0
RAM,2015.0,Not Specified,8548.0,OG,325.0,77.0,7,147.0
RAI,2020.0,Covid/Illness,10053.0,T,380.0,80.0,10,233.0
SEA,2016.0,Concussion,12033.0,DT,272.0,76.0,12,286.0
JAX,2012.0,Groin,8904.0,DT,300.0,74.0,10,237.0
MIA,2017.0,Foot,10768.0,TE,256.0,77.0,12,292.0
MIN,2020.0,Covid/Illness,8091.0,DB,190.0,74.0,10,240.0
NYJ,2020.0,Groin,8894.0,LB,237.0,73.0,9,197.0
SFO,2009.0,Not Specified,10677.0,T,325.0,78.0,10,238.0
HTX,2020.0,Hamstring,9054.0,DB,202.0,71.0,9,210.0
CLE,2015.0,Ankle,8823.0,GC,320.0,76.0,12,279.0
KAN,2020.0,Covid/Illness,9524.0,T,311.0,77.0,11,259.0
WAS,2009.0,Toe,9083.0,DB,212.0,72.0,11,253.0
DEN,2017.0,Shoulder,9558.0,TE,240.0,77.0,11,262.0
PHI,2019.0,Foot,10893.0,WR,218.0,75.0,12,284.0
NYG,2010.0,Pectoral/Chest,9919.0,T,325.0,77.0,8,181.0
PIT,2019.0,Back,9141.0,WR,185.0,68.0,11,256.0
TAM,2017.0,Ankle,8152.0,OL,199.0,72.0,12,292.0
MIA,2020.0,Covid/Illness,8435.0,OL,335.0,76.0,8,157.0
PHI,2017.0,ACL,13060.0,T,328.0,76.0,10,236.0
TAM,2015.0,Pectoral/Chest,10528.0,DT,297.0,74.0,11,245.0
NYJ,2018.0,Neck,10954.0,RB,204.0,70.0,10,235.0
SFO,2017.0,Ankle,8289.0,WR,178.0,68.0,12,285.0
JAX,2019.0,Concussion,9532.0,TE,260.0,76.0,10,233.0
CLE,2020.0,Covid/Illness,9282.0,RB,202.0,71.0,7,146.0
RAV,2020.0,Covid/Illness,8831.0,WR,220.0,76.0,12,289.0
CLE,2017.0,MCL,10251.0,LB,255.0,75.0,11,255.0
SDG,2012.0,Ankle,11424.0,WR,225.0,77.0,12,291.0
CHI,2012.0,Rib/Lung,10412.0,RB,243.0,74.0,12,291.0
CLT,2010.0,Knee,9545.0,WR,193.0,72.0,11,248.0
