No,Player,Age,Pos,G,GS,Wt,Ht,BirthDate,Yrs,AV,Team,Year
94.0,Z Allen,24.0,DL,15,14,281.0,76.0,8/20/1997,2,7.0,CRD,2021
3.0,B Baker,25.0,S,17,17,195.0,70.0,1/10/1996,4,11.0,CRD,2021
31.0,C Banjo,31.0,S,16,0,207.0,70.0,2/26/1990,8,1.0,CRD,2021
68.0,K Beachum,32.0,T,15,15,308.0,75.0,6/8/1989,9,9.0,CRD,2021
26.0,E Benjamin,22.0,RB,9,0,207.0,69.0,4/13/1999,0,1.0,CRD,2021
46.0,A Brewer,31.0,LS,14,0,232.0,77.0,7/5/1990,9,1.0,CRD,2021
25.0,Z Collins,22.0,LB,17,6,260.0,76.0,5/19/1999,0,3.0,CRD,2021
6.0,J Conner,26.0,RB,15,6,233.0,73.0,5/5/1995,4,7.0,CRD,2021
81.0,D Daniels,27.0,TE,15,4,256.0,75.0,11/22/1994,4,0.0,CRD,2021
52.0,V Dimukeje,22.0,LB,14,0,265.0,74.0,11/18/1999,0,1.0,CRD,2021
91.0,M Dogbe,25.0,DL,16,1,295.0,75.0,5/5/1996,2,2.0,CRD,2021
83.0,G Dortch,23.0,WR,5,2,173.0,67.0,5/29/1998,2,0.0,CRD,2021
2.0,C Edmonds,25.0,RB,12,11,210.0,69.0,4/13/1996,3,7.0,CRD,2021
86.0,Z Ertz,31.0,TE,11,11,250.0,77.0,11/10/1990,8,6.0,CRD,2021
95.0,L Fotu,23.0,DL,17,3,330.0,77.0,8/23/1998,1,2.0,CRD,2021
73.0,M Garcia,30.0,GC,15,11,309.0,76.0,11/9/1991,6,6.0,CRD,2021
45.0,D Gardeck,27.0,LB,14,3,232.0,72.0,8/9/1994,3,2.0,CRD,2021
44.0,M Golden,30.0,LB,16,5,260.0,75.0,3/13/1991,6,4.0,CRD,2021
18.0,A Green,33.0,WR,16,9,207.0,76.0,7/31/1988,10,8.0,CRD,2021
33.0,A Hamilton,28.0,DB,17,2,188.0,72.0,1/24/1993,5,2.0,CRD,2021
64.0,S Harlow,26.0,OG,15,5,284.0,76.0,3/28/1995,3,3.0,CRD,2021
84.0,D Harris,30.0,TE,14,4,230.0,79.0,7/29/1991,8,0.0,CRD,2021
53.0,M Henry,28.0,GC,5,0,303.0,74.0,2/11/1993,1,0.0,CRD,2021
58.0,J Hicks,29.0,LB,17,17,236.0,73.0,6/27/1992,6,8.0,CRD,2021
61.0,R Hudson,32.0,OL,12,12,315.0,74.0,7/12/1989,10,6.0,CRD,2021
74.0,D Humphries,28.0,T,16,16,307.0,77.0,12/28/1993,5,10.0,CRD,2021
17.0,A Isabella,25.0,WR,8,0,188.0,69.0,11/18/1996,2,0.0,CRD,2021
55.0,C Jones,31.0,DE,15,15,265.0,77.0,2/27/1990,9,9.0,CRD,2021
79.0,J Jones,24.0,OL,17,12,319.0,79.0,6/22/1997,1,7.0,CRD,2021
42.0,D Kennard,30.0,LB,15,3,256.0,75.0,6/24/1991,7,2.0,CRD,2021
13.0,C Kirk,25.0,WR,17,11,200.0,71.0,11/18/1996,3,10.0,CRD,2021
90.0,R Lawrence,23.0,DL,11,7,308.0,74.0,8/27/1998,1,3.0,CRD,2021
14.0,A Lee,39.0,PK,16,0,185.0,73.0,8/11/1982,17,3.0,CRD,2021
12.0,C McCoy,35.0,QB,8,3,212.0,73.0,9/5/1986,11,3.0,CRD,2021
66.0,J Miles,25.0,T,10,0,314.0,77.0,1/4/1996,2,1.0,CRD,2021
4.0,R Moore,21.0,WR,14,7,180.0,67.0,6/9/2000,0,5.0,CRD,2021
7.0,B Murphy,23.0,DB,16,16,190.0,71.0,1/18/1998,2,7.0,CRD,2021
1.0,K Murray,24.0,QB,14,14,207.0,70.0,8/7/1997,2,16.0,CRD,2021
98.0,C Peters,33.0,DT,14,11,335.0,75.0,6/8/1988,11,5.0,CRD,2021
97.0,J Phillips,29.0,DT,9,8,341.0,78.0,9/21/1992,6,3.0,CRD,2021
5.0,M Prater,37.0,PK,17,0,201.0,70.0,8/10/1984,14,2.0,CRD,2021
67.0,J Pugh,31.0,OG,14,13,311.0,77.0,8/15/1990,8,7.0,CRD,2021
9.0,I Simmons,23.0,LB,17,17,238.0,76.0,7/26/1998,1,7.0,CRD,2021
22.0,D Thompson,24.0,S,17,0,195.0,73.0,2/11/1997,2,1.0,CRD,2021
34.0,J Thompson,23.0,S,17,12,190.0,71.0,7/18/1998,2,5.0,CRD,2021
51.0,T Vallejo,27.0,LB,10,2,230.0,73.0,12/16/1994,4,1.0,CRD,2021
29.0,J Ward,24.0,RB,13,0,202.0,72.0,9/30/1997,1,1.0,CRD,2021
28.0,C Washington,28.0,DB,7,0,192.0,70.0,3/10/1993,4,0.0,CRD,2021
84.0,A Wesley,24.0,WR,15,4,206.0,76.0,10/22/1997,0,2.0,CRD,2021
20.0,M Wilson,22.0,DB,14,13,187.0,71.0,3/3/1999,0,5.0,CRD,2021
71.0,J Murray,28.0,T,3,1,315.0,77.0,4/19/1993,3,1.0,CRD,2021
47.0,Z Turner,25.0,S,5,0,214.0,74.0,6/9/1996,3,0.0,CRD,2021
99.0,J Watt,32.0,DE,7,7,288.0,77.0,3/22/1989,10,3.0,CRD,2021
38.0,J Wiggins,24.0,S,3,0,205.0,72.0,4/26/1997,0,0.0,CRD,2021
23.0,R Alford,33.0,DB,13,5,186.0,70.0,10/31/1988,8,2.0,CRD,2021
49.0,K Fitts,27.0,DE,6,0,260.0,76.0,10/11/1994,3,0.0,CRD,2021
10.0,D Hopkins,29.0,WR,10,10,212.0,73.0,6/6/1992,8,6.0,CRD,2021
87.0,M Williams,27.0,TE,5,5,252.0,76.0,4/12/1994,6,2.0,CRD,2021
68.0,J Andrews,30.0,GC,2,0,298.0,74.0,6/21/1991,7,0.0,ATL,2021
53.0,D Bates,31.0,LB,7,0,225.0,71.0,11/27/1990,8,0.0,ATL,2021
13.0,C Blake,25.0,WR,16,0,181.0,73.0,6/8/1996,3,0.0,ATL,2021
99.0,J Bullard,28.0,DE,9,4,290.0,75.0,10/22/1993,5,2.0,ATL,2021
50.0,J Cominsky,26.0,DE,4,0,285.0,77.0,11/22/1995,2,0.0,ATL,2021
51.0,B Copeland,30.0,LB,16,3,263.0,75.0,7/2/1991,8,2.0,ATL,2021
67.0,D Dalman,23.0,OL,17,0,300.0,75.0,10/15/1998,0,1.0,ATL,2021
88.0,F Darby,24.0,WR,10,0,200.0,73.0,9/8/1997,0,0.0,ATL,2021
90.0,M Davidson,23.0,DL,11,1,303.0,75.0,5/11/1998,1,2.0,ATL,2021
28.0,M Davis,28.0,RB,17,8,220.0,69.0,2/19/1993,6,5.0,ATL,2021
96.0,T Davison,29.0,DT,12,11,309.0,74.0,9/3/1992,6,4.0,ATL,2021
48.0,D Etheridge,23.0,LB,7,0,230.0,75.0,11/21/1998,0,0.0,ATL,2021
