No,Player,Age,Pos,G,GS,Wt,Ht,BirthDate,Yrs,AV,Team,Year
21.0,H Abdullah,27,DB,6,0.0,216.0,74.0,8/20/1983,5,0,CRD,2010.0
27.0,M Adams,25,DB,16,4.0,178.0,68.0,6/17/1985,3,3,CRD,2010.0
3.0,D Anderson,27,QB,12,9.0,235.0,78.0,6/15/1983,4,4,CRD,2010.0
2.0,R Bartel,27,QB,1,0.0,246.0,75.0,2/3/1983,0,0,CRD,2010.0
74.0,D Batiste,28,T,1,0.0,314.0,76.0,3/29/1982,3,0,CRD,2010.0
78.0,A Branch,26,DT,16,3.0,350.0,78.0,12/29/1984,3,3,CRD,2010.0
15.0,S Breaston,27,WR,13,11.0,175.0,73.0,8/20/1983,3,5,CRD,2010.0
73.0,J Bridges,30,GC,16,7.0,318.0,77.0,4/19/1980,6,3,CRD,2010.0
75.0,L Brown,26,T,16,16.0,323.0,78.0,3/16/1984,3,5,CRD,2010.0
93.0,C Campbell,24,DE,15,15.0,300.0,80.0,9/1/1986,2,7,CRD,2010.0
59.0,W Davis,24,DE,10,3.0,262.0,74.0,6/2/1986,1,2,CRD,2010.0
90.0,D Dockett,29,DT,15,15.0,290.0,76.0,5/27/1981,6,10,CRD,2010.0
80.0,E Doucet,25,WR,10,5.0,211.0,72.0,10/28/1985,2,2,CRD,2010.0
81.0,J Dray,24,TE,16,3.0,253.0,77.0,12/31/1986,0,0,CRD,2010.0
66.0,A Faneca,34,GC,16,16.0,316.0,77.0,12/7/1976,12,5,CRD,2010.0
4.0,J Feely,34,PK,16,0.0,208.0,70.0,5/23/1976,9,4,CRD,2010.0
11.0,L Fitzgerald,27,WR,16,15.0,218.0,75.0,8/31/1983,6,7,CRD,2010.0
57.0,C Gatewood,25,DE,1,0.0,238.0,74.0,5/18/1985,2,0,CRD,2010.0
5.0,B Graham,37,PK,16,0.0,236.0,77.0,11/2/1973,5,2,CRD,2010.0
70.0,R Hadnot,28,GC,11,1.0,310.0,74.0,1/28/1982,6,1,CRD,2010.0
53.0,C Haggans,33,LB,13,13.0,243.0,76.0,1/10/1977,10,5,CRD,2010.0
6.0,M Hall,25,QB,6,3.0,201.0,73.0,10/1/1985,0,1,CRD,2010.0
54.0,G Hayes,30,LB,6,4.0,250.0,73.0,10/10/1980,7,2,CRD,2010.0
34.0,T Hightower,24,RB,16,13.0,226.0,72.0,5/23/1986,2,5,CRD,2010.0
91.0,K Iwebema,25,DE,7,0.0,268.0,76.0,2/6/1985,2,0,CRD,2010.0
20.0,A Jefferson,22,DB,2,0.0,190.0,72.0,4/4/1988,0,0,CRD,2010.0
48.0,J Johnson,25,RB,1,0.0,258.0,72.0,1/19/1985,0,0,CRD,2010.0
49.0,R Johnson,24,DB,16,1.0,195.0,72.0,1/2/1986,1,1,CRD,2010.0
17.0,O Jones,27,WR,2,0.0,202.0,71.0,12/22/1983,0,0,CRD,2010.0
72.0,B Keith,26,T,9,9.0,343.0,77.0,11/21/1984,2,3,CRD,2010.0
18.0,M Komar,23,WR,8,0.0,202.0,71.0,11/30/1987,0,1,CRD,2010.0
82.0,M Leach,34,TE,16,0.0,235.0,74.0,10/18/1976,10,1,CRD,2010.0
51.0,P Lenon,33,LB,16,16.0,240.0,74.0,11/26/1977,8,7,CRD,2010.0
76.0,D Lutui,27,GC,16,16.0,338.0,76.0,5/5/1983,4,5,CRD,2010.0
45.0,R Maui'a,26,RB,15,4.0,260.0,72.0,7/6/1984,3,0,CRD,2010.0
23.0,T McBride,25,DB,14,0.0,185.0,69.0,9/24/1985,3,1,CRD,2010.0
33.0,B McDonald,25,DB,2,0.0,181.0,71.0,8/26/1985,3,0,CRD,2010.0
52.0,C Obiozor,24,LB,6,0.0,267.0,76.0,9/26/1986,1,0,CRD,2010.0
89.0,B Patrick,26,TE,15,7.0,252.0,75.0,8/23/1984,3,1,CRD,2010.0
55.0,J Porter,33,LB,14,14.0,248.0,75.0,3/22/1977,11,5,CRD,2010.0
25.0,K Rhodes,28,DB,16,16.0,212.0,75.0,8/2/1982,5,7,CRD,2010.0
12.0,A Roberts,22,WR,15,2.0,195.0,71.0,1/9/1988,0,2,CRD,2010.0
97.0,B Robinson,36,DT,16,16.0,304.0,76.0,6/22/1974,13,6,CRD,2010.0
29.0,D Rodgers-Cromartie,24,DB,16,16.0,205.0,74.0,4/7/1986,2,6,CRD,2010.0
50.0,O Schofield,23,LB,10,0.0,238.0,74.0,4/3/1987,0,1,CRD,2010.0
63.0,L Sendlein,26,GC,16,16.0,299.0,75.0,3/16/1984,3,5,CRD,2010.0
19.0,J Skelton,22,QB,5,4.0,244.0,77.0,3/17/1988,0,2,CRD,2010.0
46.0,A Smith,23,RB,1,0.0,208.0,73.0,1/23/1987,0,0,CRD,2010.0
83.0,S Spach,28,TE,15,11.0,260.0,76.0,7/18/1982,5,0,CRD,2010.0
36.0,L Stephens-Howling,23,RB,13,2.0,180.0,67.0,4/26/1987,1,3,CRD,2010.0
28.0,G Toler,25,DB,14,13.0,191.0,71.0,1/2/1985,1,5,CRD,2010.0
56.0,R Walker,24,LB,11,0.0,238.0,72.0,12/15/1986,1,1,CRD,2010.0
22.0,M Ware,28,DB,14,0.0,210.0,74.0,12/2/1982,6,1,CRD,2010.0
58.0,D Washington,24,LB,16,11.0,226.0,74.0,10/9/1986,0,5,CRD,2010.0
98.0,G Watson,27,DT,7,0.0,333.0,75.0,9/24/1983,4,1,CRD,2010.0
26.0,B Wells,22,RB,13,2.0,235.0,73.0,8/7/1988,1,2,CRD,2010.0
92.0,D Williams,23,DT,15,0.0,330.0,74.0,6/1/1987,0,2,CRD,2010.0
14.0,S Williams,24,WR,11,3.0,199.0,77.0,6/29/1986,0,1,CRD,2010.0
24.0,A Wilson,31,DB,16,16.0,230.0,75.0,10/12/1979,9,7,CRD,2010.0
31.0,J Wright,28,RB,15,1.0,212.0,70.0,7/12/1982,6,0,CRD,2010.0
23.0,H Abdullah,28,DB,16,0.0,216.0,74.0,8/20/1983,6,1,CRD,2011.0
94.0,S Acho,23,LB,16,10.0,259.0,75.0,9/6/1988,0,6,CRD,2011.0
27.0,M Adams,26,DB,15,1.0,178.0,68.0,6/17/1985,4,1,CRD,2011.0
2.0,R Bartel,28,QB,2,0.0,246.0,75.0,2/3/1983,1,0,CRD,2011.0
74.0,D Batiste,29,T,4,0.0,314.0,76.0,3/29/1982,4,0,CRD,2011.0
52.0,S Bradley,28,LB,16,1.0,254.0,76.0,11/2/1983,4,2,CRD,2011.0
73.0,J Bridges,31,GC,16,5.0,318.0,77.0,4/19/1980,7,3,CRD,2011.0
75.0,L Brown,27,T,16,16.0,323.0,78.0,3/16/1984,4,7,CRD,2011.0
22.0,C Butler,24,DB,1,0.0,183.0,72.0,5/26/1987,1,0,CRD,2011.0
93.0,C Campbell,25,DE,16,16.0,300.0,80.0,9/1/1986,3,9,CRD,2011.0
79.0,D Carter,24,DT,16,0.0,297.0,76.0,12/10/1987,0,1,CRD,2011.0
71.0,D Colledge,29,T,16,16.0,308.0,76.0,2/11/1982,5,7,CRD,2011.0
37.0,S Considine,29,DB,8,0.0,212.0,72.0,12/17/1982,6,1,CRD,2011.0
90.0,D Dockett,30,DT,16,16.0,290.0,76.0,5/27/1981,7,8,CRD,2011.0
85.0,E Doucet,26,WR,16,6.0,211.0,72.0,10/28/1985,3,5,CRD,2011.0
81.0,J Dray,25,TE,10,0.0,253.0,77.0,12/31/1986,1,0,CRD,2011.0
